"","population_group_name","measure_name","location_name","sex_name","age_name","cause_name","metric_name","year","val","upper","lower"
"142","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2021,39.86204981,47.54030112,31.76142157
"143","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2021,2.731023774,3.437691558,2.095071431
"144","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2021,1.731737173,2.37870674,1.360887308
"145","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2023,25.34501645,31.18501544,20.53650327
"146","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2023,19.78973471,24.43981685,16.14913255
"147","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2023,1.315130947,1.961832949,0.885922396
"148","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2023,1.092820789,1.543433094,0.73604597
"149","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2023,104.8611565,120.0772793,89.27489934
"150","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2023,93.32932639,108.8527576,77.12468434
"151","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2023,6.846282701,8.355778533,5.517584394
"152","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2023,5.792545847,7.137471454,4.633843635
"153","All Population","Deaths","Global","Male","55-59 years","Chronic kidney disease","Rate",2022,26.04736534,31.19713819,21.44150546
"154","All Population","Deaths","Global","Female","55-59 years","Chronic kidney disease","Rate",2022,19.90231994,24.22497816,16.56493838
"155","All Population","Deaths","Global","Male","<20 years","Chronic kidney disease","Rate",2022,1.285254499,1.88286546,0.885192759
"156","All Population","Deaths","Global","Female","<20 years","Chronic kidney disease","Rate",2022,1.052837539,1.50951417,0.719385481
"157","All Population","Deaths","Global","Male","60+ years","Chronic kidney disease","Rate",2022,105.398398,120.5734534,90.60849122
"158","All Population","Deaths","Global","Female","60+ years","Chronic kidney disease","Rate",2022,92.57104376,107.1076058,78.34999664
"159","All Population","Deaths","Global","Male","20-54 years","Chronic kidney disease","Rate",2022,6.737021473,8.144173443,5.570171836
"160","All Population","Deaths","Global","Female","20-54 years","Chronic kidney disease","Rate",2022,5.587254978,6.906713125,4.520307086
"161","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2022,12.04305573,16.34195796,8.189483413
"162","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2022,7.975646206,10.77970207,5.613767796
"163","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2022,0.209007311,0.3081044,0.141269762
"164","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2022,0.211273446,0.328172384,0.133684445
"165","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2022,46.40744821,55.12150062,34.46407353
"166","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2022,41.17019966,50.56568119,31.10286727
"167","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2022,2.907905935,3.723514136,2.134685271
"168","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2022,1.856291674,2.615513052,1.427576527
"169","All Population","Deaths","China","Male","55-59 years","Chronic kidney disease","Rate",2023,9.64972333,13.92089177,6.514850562
"170","All Population","Deaths","China","Female","55-59 years","Chronic kidney disease","Rate",2023,6.912005034,9.815048516,4.463115556
"171","All Population","Deaths","China","Male","<20 years","Chronic kidney disease","Rate",2023,0.219259286,0.312220176,0.142088713
"172","All Population","Deaths","China","Female","<20 years","Chronic kidney disease","Rate",2023,0.207952258,0.313987412,0.127470033
"173","All Population","Deaths","China","Male","60+ years","Chronic kidney disease","Rate",2023,43.38415484,53.93863451,31.98781644
"174","All Population","Deaths","China","Female","60+ years","Chronic kidney disease","Rate",2023,42.24356382,53.38431171,31.62206385
"175","All Population","Deaths","China","Male","20-54 years","Chronic kidney disease","Rate",2023,2.838122875,3.744510321,2.070863083
"176","All Population","Deaths","China","Female","20-54 years","Chronic kidney disease","Rate",2023,1.889045054,2.672503803,1.299372202
"177","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","55-59 years","Chronic kidney disease","Rate",2014,1138.318697,1363.002238,955.5917991
"178","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","55-59 years","Chronic kidney disease","Rate",2014,867.2312381,1010.54853,731.4147422
"179","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","<20 years","Chronic kidney disease","Rate",2014,105.7674454,149.5217654,78.34642315
"180","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","<20 years","Chronic kidney disease","Rate",2014,87.56154884,123.4412691,63.70952181
"181","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","60+ years","Chronic kidney disease","Rate",2014,2305.992925,2651.12442,2011.043634
"182","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","60+ years","Chronic kidney disease","Rate",2014,1892.578833,2138.232281,1683.356105
"183","All Population","DALYs (Disability-Adjusted Life Years)","Global","Male","20-54 years","Chronic kidney disease","Rate",2014,382.3914861,448.5518326,324.3615322
"184","All Population","DALYs (Disability-Adjusted Life Years)","Global","Female","20-54 years","Chronic kidney disease","Rate",2014,310.1397203,375.1362532,255.7714722
"185","All Population","DALYs (Disability-Adjusted Life Years)","China","Male","55-59 years","Chronic kidney disease","Rate",2013,555.9258524,670.7937868,423.775238
"186","All Population","DALYs (Disability-Adjusted Life Years)","China","Female","55-59 years","Chronic kidney disease","Rate",2013,449.624608,555.067681,367.8117251
"187","All Population","DALYs (Disability-Adjusted Life Years)","China","Male","<20 years","Chronic kidney disease","Rate",2013,30.56331898,38.06094547,22.45151503
