population_group_name,measure_name,location_name,sex_name,age_name,cause_name,metric_name,year,val,upper,lower
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2019,0.221401101,0.318211581,0.153180818
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2019,42.21016906,49.10542341,31.44921422
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2019,39.48422738,45.48065135,29.4602694
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2019,2.773177154,3.291678429,2.144230386
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2019,1.781233151,2.344026535,1.494396161
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2020,9.487575859,11.04609595,6.701930986
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2020,6.481613416,8.296030078,5.30156151
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2020,0.22145728,0.300990957,0.155886756
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2020,0.215785115,0.317337213,0.151195356
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2020,40.06755077,46.36666936,30.43305659
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2020,37.25361581,43.55657665,29.97786377
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2020,2.640611756,3.170981699,2.054395839
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2020,1.698983788,2.31308812,1.415491128
All Population,Deaths,Global,Male,55-59 years,Chronic kidney disease,Rate,2021,26.62496007,32.19632209,22.06275789
All Population,Deaths,Global,Female,55-59 years,Chronic kidney disease,Rate,2021,19.94628988,24.10158433,16.53537559
All Population,Deaths,Global,Male,<20 years,Chronic kidney disease,Rate,2021,1.296110613,1.888205351,0.921063778
All Population,Deaths,Global,Female,<20 years,Chronic kidney disease,Rate,2021,1.067778958,1.534262268,0.72532394
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2021,105.4450697,120.3947491,92.22486388
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2021,90.04663687,103.6855512,76.69790005
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2021,6.88580007,8.299623351,5.74290975
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2021,5.431946808,6.719782711,4.412210509
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2021,10.63525278,12.91143136,7.36396058
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2021,7.052702509,9.277182027,5.428713152
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2021,0.212870984,0.297335168,0.15152527
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2021,0.215502168,0.315795147,0.145526377
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2021,43.81389912,50.66890405,33.2545972
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2021,39.86204981,47.54030112,31.76142157
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2021,2.731023774,3.437691558,2.095071431
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2021,1.731737173,2.37870674,1.360887308
All Population,Deaths,Global,Male,55-59 years,Chronic kidney disease,Rate,2023,25.34501645,31.18501544,20.53650327
All Population,Deaths,Global,Female,55-59 years,Chronic kidney disease,Rate,2023,19.78973471,24.43981685,16.14913255
All Population,Deaths,Global,Male,<20 years,Chronic kidney disease,Rate,2023,1.315130947,1.961832949,0.885922396
All Population,Deaths,Global,Female,<20 years,Chronic kidney disease,Rate,2023,1.092820789,1.543433094,0.73604597
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2023,104.8611565,120.0772793,89.27489934
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2023,93.32932639,108.8527576,77.12468434
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2023,6.846282701,8.355778533,5.517584394
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2023,5.792545847,7.137471454,4.633843635
All Population,Deaths,Global,Male,55-59 years,Chronic kidney disease,Rate,2022,26.04736534,31.19713819,21.44150546
All Population,Deaths,Global,Female,55-59 years,Chronic kidney disease,Rate,2022,19.90231994,24.22497816,16.56493838
All Population,Deaths,Global,Male,<20 years,Chronic kidney disease,Rate,2022,1.285254499,1.88286546,0.885192759
All Population,Deaths,Global,Female,<20 years,Chronic kidney disease,Rate,2022,1.052837539,1.50951417,0.719385481
All Population,Deaths,Global,Male,60+ years,Chronic kidney disease,Rate,2022,105.398398,120.5734534,90.60849122
All Population,Deaths,Global,Female,60+ years,Chronic kidney disease,Rate,2022,92.57104376,107.1076058,78.34999664
All Population,Deaths,Global,Male,20-54 years,Chronic kidney disease,Rate,2022,6.737021473,8.144173443,5.570171836
All Population,Deaths,Global,Female,20-54 years,Chronic kidney disease,Rate,2022,5.587254978,6.906713125,4.520307086
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2022,12.04305573,16.34195796,8.189483413
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2022,7.975646206,10.77970207,5.613767796
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2022,0.209007311,0.3081044,0.141269762
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2022,0.211273446,0.328172384,0.133684445
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2022,46.40744821,55.12150062,34.46407353
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2022,41.17019966,50.56568119,31.10286727
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2022,2.907905935,3.723514136,2.134685271
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2022,1.856291674,2.615513052,1.427576527
All Population,Deaths,China,Male,55-59 years,Chronic kidney disease,Rate,2023,9.64972333,13.92089177,6.514850562
All Population,Deaths,China,Female,55-59 years,Chronic kidney disease,Rate,2023,6.912005034,9.815048516,4.463115556
All Population,Deaths,China,Male,<20 years,Chronic kidney disease,Rate,2023,0.219259286,0.312220176,0.142088713
All Population,Deaths,China,Female,<20 years,Chronic kidney disease,Rate,2023,0.207952258,0.313987412,0.127470033
All Population,Deaths,China,Male,60+ years,Chronic kidney disease,Rate,2023,43.38415484,53.93863451,31.98781644
All Population,Deaths,China,Female,60+ years,Chronic kidney disease,Rate,2023,42.24356382,53.38431171,31.62206385
All Population,Deaths,China,Male,20-54 years,Chronic kidney disease,Rate,2023,2.838122875,3.744510321,2.070863083
All Population,Deaths,China,Female,20-54 years,Chronic kidney disease,Rate,2023,1.889045054,2.672503803,1.299372202
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,55-59 years,Chronic kidney disease,Rate,2014,1138.318697,1363.002238,955.5917991
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,55-59 years,Chronic kidney disease,Rate,2014,867.2312381,1010.54853,731.4147422
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,<20 years,Chronic kidney disease,Rate,2014,105.7674454,149.5217654,78.34642315
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,<20 years,Chronic kidney disease,Rate,2014,87.56154884,123.4412691,63.70952181
All Population,DALYs (Disability-Adjusted Life Years),Global,Male,60+ years,Chronic kidney disease,Rate,2014,2305.992925,2651.12442,2011.043634
All Population,DALYs (Disability-Adjusted Life Years),Global,Female,60+ years,Chronic kidney disease,Rate,2014,1892.578833,2138.232281,1683.356105
